Localidad;Departamento;Provincia;Latitud;Longitud;Estado
Colonia El Simbolar;Robles;Santiago del Estero;-27,71413333;-63,86821667;Conectado
Colonia Ensayo;Diamante;Entre Rios;-31,86516667;-60,57591667;Conectado
Colonia Julia y Echarren;Pichi Mahuida;Rio Negro;-39,03535278;-64,02580278;Conectado
Colonia Las Heras;Deseado;Santa Cruz;-46,54363611;-68,90773333;Conectado
Colonia Mayo-Barrio Milagrosa;Cruz Alta;Tucuman;-26,8366055;-64,9905916;Conectado
Colonia Nueva Coneta;Capayan;Catamarca;-28,579003;-65,834958;Conectado
Colonia Peña;Federacion;Entre Rios;-30,80135;-58,18826389;Conectado
Colonia Popular;Libertad;Chaco;-27,276111;-59,148694;Conectado
Colonia Raquel;Castellanos;Santa Fe;-30,83630556;-61,49011389;Conectado
Colonia San Jose;Tilcara;Jujuy;-23,3936667;-65,345508;Conectado
Colonia San Martin;Saavedra;Buenos Aires;-37,97597615;-62,33279726;Conectado
Colonia Santa Maria.;Federacion;Entre Rios;-30,61268889;-58,17001944;Conectado
Colonia Santa Maria..;Utracan;La Pampa;-37,49518611;-64,22837778;Conectado
Colonia Santa Rosa;Oran;Salta;-23,39358611;-64,41942222;Conectado
Colonia Wanda;Iguazu;Misiones;-25,97164722;-54,56123611;Conectado
Comallo;Pilcaniyeu;Rio Negro;-41,03466389;-70,26398056;Conectado
Comandante Andresito;Gral. Manuel Belgrano;Misiones;-25,67647222;-54,04119444;Conectado
Concepcion;Chicligasta;Tucuman;-27,34515438;-65,58824982;Conectado
Concepcion del Bermejo;Almirante Brown;Chaco;-26,599389;-60,948417;Conectado
Concepcion del Uruguay;Uruguay;Entre Rios;-32,48446389;-58,25335;Conectado
Concordia;Concordia;Entre Rios;-31,38165833;-58,01830556;Conectado
Condor Huasi;Belen;Catamarca;-27,495422;-67,095831;Conectado
Conesa;San Nicolas;Buenos Aires;-33,592071;-60,357235;Conectado
Coneta;Capayan;Catamarca;-28,585833;-65,890556;Conectado
Conscripto Bernardi;Federal;Entre Rios;-31,04508333;-59,08746944;Conectado
Coranzuli;Susques;Jujuy;-23,01628234;-66,36539812;Conectado
Cordoba;Capital;Cordoba;-31,43919444;-64,18978056;Conectado
Coronda;San Jeronimo;Santa Fe;-31,96863889;-60,93243056;Conectado
Coronel Baigorria;Rio Cuarto;Cordoba;-32,85049429;-64,36101665;Conectado
Coronel Cornejo;Gral.J. de San Martin;Salta;-22,73898889;-63,81906667;Conectado
Coronel Juan Sola;Rivadavia;Salta;-23,47294444;-62,88200556;Conectado
Coronel Moldes;Rio Cuarto;Cordoba;-33,616438;-64,592501;Conectado
Coronel Rodolfo S. Dominguez;Rosario;Santa Fe;-33,18281389;-60,72248056;Conectado
Coronel Suarez;Coronel Suarez;Buenos Aires;-37,47297222;-61,92690833;Conectado
Corralito;Tercero Arriba;Cordoba;-32,01735154;-64,19924005;Conectado
Correa;Iriondo;Santa Fe;-32,84814863;-61,25543153;Conectado
Corrientes;Capital;Corrientes;-27,4738916;-58,8535194;Conectado
Costa de Araujo;Lavalle;Mendoza;-32,75335556;-68,40745;Conectado
Cote Lai;Tapenaga;Chaco;-27,52838797;-59,57113735;Conectado
Country Club El Casco;Zarate;Buenos Aires;-34,12682778;-59,08610556;Conectado
Coyaguayma;Rinconada;Jujuy;-22,77222222;-66,44111111;Conectado
Crespo;Parana;Entre Rios;-32,04451111;-60,30311944;Conectado
Crotto;Tapalque;Buenos Aires;-36,57603333;-60,17097778;Conectado
Cruce Caballero;San Pedro;Misiones;-26,54238889;-53,94166667;Conectado
Cruz de Los Milagros;Lavalle;Corrientes;-28,83697222;-59,00372222;Conectado
Cruz del Eje;Cruz del Eje;Cordoba;-30,72420556;-64,80055833;Conectado
Cuatro Esquinas;Rosario;Santa Fe;-33,24457778;-60,76273889;Conectado
Cucullu;San Andres de Giles;Buenos Aires;-34,44530833;-59,36046944;Conectado
Curamalal;Coronel Suarez;Buenos Aires;-37,48565;-62,10691667;Conectado
Curaru;Carlos Tejedor;Buenos Aires;-35,64127778;-62,19375;Conectado
Curupayti;San Cristobal;Santa Fe;-30,39494444;-61,65325;Conectado
Cusi Cusi;Santa Catalina;Jujuy;-22,34100899;-66,49245265;Conectado
Daireaux;Daireaux;Buenos Aires;-36,59658333;-61,74971111;Conectado
Dalmacio Velez;Tercero Arriba;Cordoba;-32,612183;-63,578467;Conectado
De Bary;Pellegrini;Buenos Aires;-36,34075;-63,25986111;Conectado
Dean Funes;Ischilin;Cordoba;-30,42289444;-64,35716111;Conectado
Del Carril;Saladillo;Buenos Aires;-35,50838889;-59,51580556;Conectado
Del Viso;Pilar;Buenos Aires;-34,45436111;-58,79658333;Conectado
Delfin Gallo;Cruz Alta;Tucuman;-26,84598889;-65,09426667;Conectado
Derqui;Pilar;Buenos Aires;-34,4913;-58,84225;Conectado
Despeñaderos;Santa Maria;Cordoba;-31,81759444;-64,29596389;Conectado
Desvio Arijon;San Jeronimo;Santa Fe;-31,87219444;-60,88847778;Conectado
Devoto;San Justo;Cordoba;-31,40551389;-62,30051667;Conectado
Diamante;Diamante;Entre Rios;-32,07167778;-60,63232222;Conectado
Diego de Alvear;General Lopez;Santa Fe;-34,37261111;-62,12951111;Conectado
Diego Gaynor;Exaltacion de La Cruz;Buenos Aires;-34,28715839;-59,2212097;Conectado
Dina Huapi;Pilcaniyeu;Rio Negro;-41,074825;-71,168925;Conectado
Don Cristobal;Nogoya;Entre Rios;-32,07224444;-59,9941;Conectado
Don Emilio;San Pedro;Jujuy;-24,31513889;-64,90741111;Conectado
Donadeu;Alberdi;Santiago del Estero;-26,72361111;-62,72416667;Conectado
Dragones;Gral.J. de San Martin;Salta;-23,2470534;-63,3426742;Conectado
Duggan;San Antonio de Areco;Buenos Aires;-34,21148889;-59,63817222;Conectado
